,AZN:LSE,,HHV:LSE,,PHNX:LSE,,SRE:LSE,,JET2:LSE,,ABF:LSE,,III:LSE,
"=GOOGLEFINANCE(LEFT(B1,FIND("":"",B1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
,22/01/2025 16:00:00,68.2,,,20/01/2025 16:30:00,502.5,22/01/2025 16:00:00,82.8,20/01/2025 16:30:00,1465,20/01/2025 16:30:00,2002,22/01/2025 16:00:00,3.21
,23/01/2025 16:00:00,68.6,,,21/01/2025 16:30:00,506,23/01/2025 16:00:00,82.81,21/01/2025 16:30:00,1474,21/01/2025 16:30:00,1949,23/01/2025 16:00:00,3.23
,24/01/2025 16:00:00,69.06,,,22/01/2025 16:30:00,506.5,24/01/2025 16:00:00,82.71,22/01/2025 16:30:00,1468,22/01/2025 16:30:00,1937,24/01/2025 16:00:00,3.24
,27/01/2025 16:00:00,70.08,,,23/01/2025 16:30:00,506,27/01/2025 16:00:00,82.15,23/01/2025 16:30:00,1483,23/01/2025 16:30:00,1879.5,27/01/2025 16:00:00,3.26
,28/01/2025 16:00:00,69.59,,,24/01/2025 16:30:00,508,28/01/2025 16:00:00,81.75,24/01/2025 16:30:00,1500,24/01/2025 16:30:00,1884.5,28/01/2025 16:00:00,3.21
,29/01/2025 16:00:00,70.25,,,27/01/2025 16:30:00,512,29/01/2025 16:00:00,81.98,27/01/2025 16:30:00,1506,27/01/2025 16:30:00,1869.5,29/01/2025 16:00:00,3.23
,30/01/2025 16:00:00,71.24,,,28/01/2025 16:30:00,516.5,30/01/2025 16:00:00,83.29,28/01/2025 16:30:00,1506,28/01/2025 16:30:00,1919.5,30/01/2025 16:00:00,3.08
,31/01/2025 16:00:00,70.76,,,29/01/2025 16:30:00,520.5,31/01/2025 16:00:00,82.93,29/01/2025 16:30:00,1491,29/01/2025 16:30:00,1902.5,31/01/2025 16:00:00,3.06
,03/02/2025 16:00:00,69.86,,,30/01/2025 16:30:00,520,03/02/2025 16:00:00,82.59,30/01/2025 16:30:00,1520,30/01/2025 16:30:00,1930,03/02/2025 16:00:00,3.29
,04/02/2025 16:00:00,68.96,,,31/01/2025 16:30:00,522.5,04/02/2025 16:00:00,81.43,31/01/2025 16:30:00,1531,31/01/2025 16:30:00,1902,04/02/2025 16:00:00,3.29
,05/02/2025 16:00:00,70.94,,,03/02/2025 16:30:00,512.5,05/02/2025 16:00:00,82.3,03/02/2025 16:30:00,1507,03/02/2025 16:30:00,1848.5,05/02/2025 16:00:00,3.23
,06/02/2025 16:00:00,72.36,,,04/02/2025 16:30:00,508,06/02/2025 16:00:00,82.08,04/02/2025 16:30:00,1512,04/02/2025 16:30:00,1843,06/02/2025 16:00:00,3.2
,07/02/2025 16:00:00,71.99,,,05/02/2025 16:30:00,518,07/02/2025 16:00:00,81.98,05/02/2025 16:30:00,1522,05/02/2025 16:30:00,1862.5,07/02/2025 16:00:00,3.22
,10/02/2025 16:00:00,72.66,,,06/02/2025 16:30:00,520.5,10/02/2025 16:00:00,82.21,06/02/2025 16:30:00,1548,06/02/2025 16:30:00,1869,10/02/2025 16:00:00,3.28
,11/02/2025 16:00:00,72.73,,,07/02/2025 16:30:00,519,11/02/2025 16:00:00,83.43,07/02/2025 16:30:00,1528,07/02/2025 16:30:00,1860,11/02/2025 16:00:00,3.22
,12/02/2025 16:00:00,74.43,,,10/02/2025 16:30:00,524,12/02/2025 16:00:00,82.93,10/02/2025 16:30:00,1530,10/02/2025 16:30:00,1890.5,12/02/2025 16:00:00,3.15
,13/02/2025 16:00:00,74.45,,,11/02/2025 16:30:00,519,13/02/2025 16:00:00,83.86,11/02/2025 16:30:00,1512,11/02/2025 16:30:00,1908.5,13/02/2025 16:00:00,3.22
,14/02/2025 16:00:00,73.58,,,12/02/2025 16:30:00,516.5,14/02/2025 16:00:00,84.1,12/02/2025 16:30:00,1538,12/02/2025 16:30:00,1899.5,14/02/2025 16:00:00,3.19
,18/02/2025 16:00:00,74.8,,,13/02/2025 16:30:00,515.5,18/02/2025 16:00:00,84.62,13/02/2025 16:30:00,1550,13/02/2025 16:30:00,1913,18/02/2025 16:00:00,3.16
,19/02/2025 16:00:00,73.81,,,14/02/2025 16:30:00,513,19/02/2025 16:00:00,85.34,14/02/2025 16:30:00,1547,14/02/2025 16:30:00,1905.5,19/02/2025 16:00:00,3.16
,20/02/2025 16:00:00,74.56,,,17/02/2025 16:30:00,504.5,20/02/2025 16:00:00,86.01,17/02/2025 16:30:00,1575,17/02/2025 16:30:00,1935,20/02/2025 16:00:00,3.1
,21/02/2025 16:00:00,74.22,,,18/02/2025 16:30:00,508.5,21/02/2025 16:00:00,87.1,18/02/2025 16:30:00,1565,18/02/2025 16:30:00,1922,21/02/2025 16:00:00,3.06
,24/02/2025 16:00:00,74.69,,,19/02/2025 16:30:00,499.2,24/02/2025 16:00:00,87.18,19/02/2025 16:30:00,1398,19/02/2025 16:30:00,1880.5,24/02/2025 16:00:00,3.05
,25/02/2025 16:00:00,75.4,,,20/02/2025 16:30:00,501.5,25/02/2025 16:00:00,70.64,20/02/2025 16:30:00,1342,20/02/2025 16:30:00,1882.5,25/02/2025 16:00:00,3.07
,26/02/2025 16:00:00,75.52,,,21/02/2025 16:30:00,506,26/02/2025 16:00:00,72.85,21/02/2025 16:30:00,1381,21/02/2025 16:30:00,1911,26/02/2025 16:00:00,3.11
,27/02/2025 16:00:00,75.65,,,24/02/2025 16:30:00,506,27/02/2025 16:00:00,71.9,24/02/2025 16:30:00,1354,24/02/2025 16:30:00,1908.5,27/02/2025 16:00:00,3.07
,28/02/2025 16:00:00,76.21,,,25/02/2025 16:30:00,507.5,28/02/2025 16:00:00,71.57,25/02/2025 16:30:00,1379,25/02/2025 16:30:00,1852,28/02/2025 16:00:00,3.13
,03/03/2025 16:00:00,76.1,,,26/02/2025 16:30:00,518,03/03/2025 16:00:00,71.44,26/02/2025 16:30:00,1383,26/02/2025 16:30:00,1897.5,03/03/2025 16:00:00,3.01
,04/03/2025 16:00:00,77.25,,,27/02/2025 16:30:00,519.5,04/03/2025 16:00:00,70.63,27/02/2025 16:30:00,1390,27/02/2025 16:30:00,1879,04/03/2025 16:00:00,2.99
,05/03/2025 16:00:00,77.96,,,28/02/2025 16:30:00,518,05/03/2025 16:00:00,71.9,28/02/2025 16:30:00,1405,28/02/2025 16:30:00,1895,05/03/2025 16:00:00,2.98
,06/03/2025 16:00:00,77.47,,,03/03/2025 16:30:00,521.5,06/03/2025 16:00:00,69.62,03/03/2025 16:30:00,1404,03/03/2025 16:30:00,1895.5,06/03/2025 16:00:00,3.1
,07/03/2025 16:00:00,77.5,,,04/03/2025 16:30:00,517,07/03/2025 16:00:00,69.3,04/03/2025 16:30:00,1331,04/03/2025 16:30:00,1851,07/03/2025 16:00:00,3.3
,10/03/2025 16:00:00,75.99,,,05/03/2025 16:30:00,516.5,10/03/2025 16:00:00,69.47,05/03/2025 16:30:00,1358,05/03/2025 16:30:00,1853.5,10/03/2025 16:00:00,3.24
,11/03/2025 16:00:00,74.24,,,06/03/2025 16:30:00,509.5,11/03/2025 16:00:00,68.79,06/03/2025 16:30:00,1379,06/03/2025 16:30:00,1897,11/03/2025 16:00:00,3.36
,12/03/2025 16:00:00,75.57,,,07/03/2025 16:30:00,515,12/03/2025 16:00:00,68.95,07/03/2025 16:30:00,1354,07/03/2025 16:30:00,1916.5,12/03/2025 16:00:00,3.29
,13/03/2025 16:00:00,76.51,,,10/03/2025 16:30:00,514.5,13/03/2025 16:00:00,67.85,10/03/2025 16:30:00,1316,10/03/2025 16:30:00,1930.5,13/03/2025 16:00:00,3.27
,14/03/2025 16:00:00,77.6,,,11/03/2025 16:30:00,510,14/03/2025 16:00:00,70.21,11/03/2025 16:30:00,1393,11/03/2025 16:30:00,1931,14/03/2025 16:00:00,3.36
,17/03/2025 16:00:00,77.37,,,12/03/2025 16:30:00,515,17/03/2025 16:00:00,71.06,12/03/2025 16:30:00,1386,12/03/2025 16:30:00,1847,17/03/2025 16:00:00,3.5
,18/03/2025 16:00:00,77.07,,,13/03/2025 16:30:00,516,18/03/2025 16:00:00,70.75,13/03/2025 16:30:00,1329,13/03/2025 16:30:00,1841.5,18/03/2025 16:00:00,3.66
,19/03/2025 16:00:00,76.32,,,14/03/2025 16:30:00,524,19/03/2025 16:00:00,71.09,14/03/2025 16:30:00,1355,14/03/2025 16:30:00,1853,19/03/2025 16:00:00,3.71
,20/03/2025 16:00:00,76.52,,,17/03/2025 16:30:00,580,20/03/2025 16:00:00,70,17/03/2025 16:30:00,1376,17/03/2025 16:30:00,1882,20/03/2025 16:00:00,3.72
,21/03/2025 16:00:00,74.93,,,18/03/2025 16:30:00,587,21/03/2025 16:00:00,69.54,18/03/2025 16:30:00,1385,18/03/2025 16:30:00,1903.5,21/03/2025 16:00:00,3.73
,24/03/2025 16:00:00,74.09,,,19/03/2025 16:30:00,582,24/03/2025 16:00:00,70.26,19/03/2025 16:30:00,1389,19/03/2025 16:30:00,1905.5,24/03/2025 16:00:00,3.71
,25/03/2025 16:00:00,73.05,,,20/03/2025 16:30:00,577.5,25/03/2025 16:00:00,69.11,20/03/2025 16:30:00,1370,20/03/2025 16:30:00,1925,25/03/2025 16:00:00,3.66
,26/03/2025 16:00:00,72.72,,,21/03/2025 16:30:00,576.5,26/03/2025 16:00:00,70.77,21/03/2025 16:30:00,1358,21/03/2025 16:30:00,1920.5,26/03/2025 16:00:00,3.7
,27/03/2025 16:00:00,72.84,,,24/03/2025 16:30:00,575.5,27/03/2025 16:00:00,70.06,24/03/2025 16:30:00,1352,24/03/2025 16:30:00,1920.5,27/03/2025 16:00:00,3.77
,28/03/2025 16:00:00,73.79,,,25/03/2025 16:30:00,574,28/03/2025 16:00:00,69.73,25/03/2025 16:30:00,1364,25/03/2025 16:30:00,1901.5,28/03/2025 16:00:00,4
,31/03/2025 16:00:00,73.5,,,26/03/2025 16:30:00,576,31/03/2025 16:00:00,71.36,26/03/2025 16:30:00,1340,26/03/2025 16:30:00,1908,31/03/2025 16:00:00,3.91
,,,,,27/03/2025 16:30:00,574.5,,,27/03/2025 16:30:00,1336,27/03/2025 16:30:00,1945,,
,,,,,28/03/2025 16:30:00,571,,,28/03/2025 16:30:00,1278,28/03/2025 16:30:00,1940.5,,
,,,,,31/03/2025 16:30:00,571.5,,,31/03/2025 16:30:00,1239,31/03/2025 16:30:00,1910,,
